# core_Tettelin fit converged
# residual standard error = 1893.94
~ coregenes(g) == "9056" + "38921" exp(frac(-g, "1.90")) 
# fitted values (genomes, genes) :
1	32068.3
2	22662.0
3	17100.6
4	13812.5
5	11868.4
6	10718.9
7	10039.4
8	9637.6
9	9400.0
10	9259.5
11	9176.5
# core_Willenbrock fit converged
# residual standard error = 1760.10
~ coregenes(g) == "5745" + "437720" exp(frac(-sqrt(sqrt(g)), "0.36")) 
# fitted values (genomes, genes) :
1	32616.3
2	21593.5
3	16868.4
4	14203.7
5	12489.9
6	11297.2
7	10421.7
8	9753.9
9	9229.3
10	8807.6
11	8462.2
